voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7311023,111,127,128,654,20,0.0,0,0.8161967,0.6521786969683262,0.04312343959378442,-0.06663939356801846,1.0
7311024,112,127,128,655,20,0.0,0,1.0804346,0.60645304554653,0.07212725412933078,-0.19746831804509674,1.0
7311025,113,127,128,656,20,0.0,0,0.91813785,0.45765274281027013,0.04635762641603924,-0.16530518984200346,1.0
7311026,114,127,128,657,20,0.0,0,1.0289649,0.584075191610443,0.08457351923808203,-0.1152816973641833,1.0
7311027,115,127,128,658,20,0.0,0,0.8412863,0.5162190157329556,0.05059129873763705,-0.0207675830155944,1.0
7311028,116,127,128,659,20,0.0,2,0.5718943,0.2655427422488483,0.07774764997978856,0.32477517594704286,1.0
7311029,117,127,128,660,20,0.0,0,0.76131964,0.17007593233008783,0.4884013647369689,0.29394328681711995,1.0
7311245,109,128,128,663,20,0.0,0,0.6056358,0.15727490700917726,0.1324041382945764,0.2876032367336826,1.0
7311246,110,128,128,664,20,0.0,0,0.59402627,0.22053555948413,0.09401265142085513,0.022212838704047836,1.0
7311247,111,128,128,665,20,0.0,0,0.81796914,0.5435799554251889,0.0650461822197774,-0.11943514645162358,1.0
7311248,112,128,128,666,20,0.0,0,1.074717,0.48529738102610526,0.11964407733572284,-0.28697130084038924,1.0
7311249,113,128,128,667,20,0.0,0,0.7572181,0.41506306446942676,0.045391984436054134,-0.29574145376700406,1.0
7311250,114,128,128,668,20,0.0,0,1.0632433,0.4750437515122628,0.13326351302007208,-0.15644961968063686,1.0
7311251,115,128,128,669,20,0.0,0,0.91561496,0.37255566448065786,0.1986863487924473,-0.026487613096141168,1.0
7311252,116,128,128,670,20,0.0,0,0.768179,0.358195841620389,0.19593757330419415,0.09345228597447834,1.0
7311253,117,128,128,671,20,0.0,3,0.61739993,0.29919112114025925,0.024916984359864957,0.4920698579011689,1.0
7311467,107,129,128,672,20,0.0,3,0.35896793,0.12556300931667236,0.0039051216404569476,0.5677451811562167,1.0
7311468,108,129,128,673,20,0.0,3,0.33055657,0.05965073125783451,0.01965818899640452,0.5989075777900094,1.0
7311469,109,129,128,674,20,0.0,2,0.42067972,0.053354917586574846,0.057032654959122304,0.41280710697556156,1.0
7311470,110,129,128,675,20,0.0,0,0.5943552,0.19933530949219702,0.1584892518662139,0.10809542611754282,1.0
7311471,111,129,128,676,20,0.0,0,1.0518306,0.45142037008420766,0.09331219794976207,-0.14985069271255344,1.0
7311472,112,129,128,677,20,0.0,0,0.64902157,0.2732558587711717,0.41537090340793464,-0.48028615070509845,1.0
7311473,113,129,128,678,20,0.0,0,0.7551149,0.3716903792635671,0.08377870602335952,-0.35120050590138496,1.0
7311474,114,129,128,679,20,0.0,0,1.089728,0.4546923677388812,0.11983830823939753,-0.25379829017235345,1.0
7311475,115,129,128,680,20,0.0,0,0.9548755,0.38323790674845826,0.13597941209007353,-0.12658556550865685,1.0
7311476,116,129,128,681,20,0.0,0,0.6797055,0.2710085773955998,0.28794524794399706,0.07080519391277824,1.0
7311477,117,129,128,682,20,0.0,0,0.8428109,0.2918272161767212,0.3508787017498027,0.16545740515003815,1.0
7311691,107,130,128,683,20,0.0,3,0.44693267,0.08264453153552814,0.013497420640988004,0.6696017711515583,1.0
7311693,109,130,128,685,20,0.0,2,0.5239099,0.06332224328256592,0.060731509781657235,0.4387044013582212,1.0
7311694,110,130,128,686,20,0.0,0,0.62031376,0.180510994776939,0.07742555293329118,0.0623048134148765,1.0
7311695,111,130,128,687,20,0.0,0,0.6601236,0.28045821966953266,0.13265691633453494,-0.20105449110057205,1.0
7311696,112,130,128,688,20,0.0,0,0.57006866,0.29157518155481776,0.27133207912905694,-0.4412542284172101,1.0
7311697,113,130,128,689,20,0.0,0,0.62438536,0.30298428445128744,0.20582842372475363,-0.3377740978721905,1.0
7311698,114,130,128,690,20,0.0,0,0.87605774,0.4204380541217655,0.12948126510424382,-0.32051829993762493,1.0
7311699,115,130,128,691,20,0.0,0,1.0843037,0.39380865753160477,0.1468196022420508,-0.16647703945638953,1.0
7311700,116,130,128,692,20,0.0,0,0.8164299,0.34930909991010145,0.2216458947080099,0.024271480385889825,1.0
7311701,117,130,128,693,20,0.0,0,0.83351433,0.3722354401505469,0.32609762075237364,0.12748148296450104,1.0
